,PROFILEMENTION_1,COMPANYMENTION_1,POLL_1,CONTENT_Document,CONTENT_Image,CONTENT_Poll,CONTENT_Text,CONTENT_Video (external),CONTENT_Video (native),LINKS_1,LINKS_2,TAGS_1-5,TAGS_6 and more,EMOJIS_1,CHARACTER_COUNT,AGE_IN_DAYS,ENGAGEMENT
281,0,0,0,0,1,0,0,0,0,0,0,1,0,0,16.64331697709324,1.7320508075688772,68
282,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15.066519173319364,2.0,526
283,0,1,0,0,0,0,0,0,0,1,0,1,0,0,13.92838827718412,2.23606797749979,163
284,0,1,0,0,0,0,0,0,0,0,0,1,0,0,16.941074346097416,2.6457513110645907,667
285,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.695359714832659,3.3166247903554,282
286,0,1,0,0,0,0,0,0,0,1,0,1,0,0,12.489995996796797,3.4641016151377544,151
287,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.529964086141668,3.7416573867739413,422
288,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9.16515138991168,4.242640687119285,63
289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.486832980505138,4.242640687119285,460
290,1,0,0,0,0,0,0,0,0,1,0,1,0,0,16.15549442140351,4.358898943540674,0
291,0,1,0,0,0,0,0,0,0,1,0,1,0,0,14.491376746189438,4.358898943540674,519
292,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10.344080432788601,4.58257569495584,142
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.928203230275509,5.0,284
294,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13.19090595827292,5.0990195135927845,285
295,0,0,0,0,1,0,0,0,0,1,0,0,0,0,17.08800749063506,5.196152422706632,5298
296,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.922847983320086,5.291502622129181,1213
297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0996688705415,5.5677643628300215,403
298,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.09975124224178,5.5677643628300215,0
299,0,1,0,0,0,0,0,0,0,1,0,0,0,0,11.958260743101398,5.5677643628300215,508
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48528137423857,5.656854249492381,179
301,0,1,0,0,0,0,0,0,0,1,0,1,0,0,13.341664064126334,5.744562646538029,382
302,0,0,0,0,0,0,0,0,0,1,0,1,0,0,12.328828005937952,5.830951894845301,429
303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48528137423857,6.244997998398398,274
304,0,1,0,0,0,0,0,0,0,0,0,1,0,0,13.30413469565007,6.324555320336759,303
305,0,0,0,0,1,0,0,0,0,1,0,0,0,0,17.578395831246947,6.4031242374328485,685
306,0,1,0,0,0,0,0,0,0,1,0,1,0,0,12.649110640673518,6.48074069840786,260
307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.041594578792296,6.782329983125268,346
308,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.96148139681572,6.855654600401044,337
309,0,0,0,0,1,0,0,0,0,0,0,0,0,0,19.261360284258224,6.855654600401044,2894
310,0,1,0,0,0,0,0,0,0,1,0,1,0,0,12.041594578792296,7.0,294
311,0,1,0,0,0,0,0,0,0,1,0,1,0,0,13.152946437965905,7.483314773547883,1636
312,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9.746794344808963,7.745966692414834,618
313,0,1,0,0,0,0,0,0,0,1,0,1,0,0,14.696938456699069,7.810249675906654,292
314,0,1,0,0,0,0,0,0,0,0,0,1,0,0,15.524174696260024,7.937253933193772,1197
315,0,0,0,0,0,0,0,1,0,0,0,0,0,1,12.12435565298214,8.12403840463596,436
316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.18535277187245,8.18535277187245,186
317,0,1,0,0,0,0,0,0,0,0,0,1,0,0,12.806248474865697,8.246211251235321,352
318,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.928203230275509,8.306623862918075,894
319,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.291502622129181,8.366600265340756,1120
320,0,1,0,0,0,0,0,0,0,1,0,1,0,0,14.177446878757825,8.366600265340756,558
321,1,1,0,0,1,0,0,0,0,0,0,1,0,0,18.466185312619388,8.602325267042627,0
322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48528137423857,8.602325267042627,191
323,0,1,0,0,1,0,0,0,0,0,1,1,0,0,15.0996688705415,8.602325267042627,0
